0,0
0.00017,16.1856
0.00033,29.7064
0.00048,43.5207
0.00062,57.6396
0.00076,72.0293
0.00089,86.6549
0.00103,101.487
0.00116,116.5
0.00129,131.675
0.00142,146.994
0.00154,162.445
0.00167,178.014
0.0018,193.693
0.00193,209.472
0.00206,225.344
0.00219,241.303
0.00231,257.342
0.00244,273.456
0.00257,289.642
0.00271,305.894
0.00284,322.21
0.00297,338.586
0.0031,355.018
0.00324,371.504
0.00338,388.042
0.00351,404.629
0.00365,421.263
0.0038,437.941
0.00394,454.663
0.00408,471.427
0.00423,488.23
0.00438,505.072
0.00453,522.486
0.00468,540.551
0.00484,558.66
0.005,576.809
0.00516,594.997
0.00532,613.224
0.00549,631.487
0.00566,649.785
0.00583,668.118
0.00601,686.484
0.00619,704.882
0.00637,723.312
0.00656,741.771
0.00675,760.261
0.00695,778.778
0.00715,797.324
0.00736,815.896
0.00757,834.495
0.00779,853.12
0.00802,871.769
0.00825,890.443
0.00849,910.882
0.00873,931.505
0.00899,952.128
0.00925,972.751
0.00952,993.374
0.00981,1014
0.0101,1034.62
0.01041,1055.24
0.01073,1075.87
0.01107,1096.49
0.01142,1117.11
0.01179,1137.73
0.01218,1158.36
0.0126,1178.98
0.01303,1199.6
0.0135,1220.23
0.014,1240.85
0.01454,1261.47
0.01513,1282.09
0.01577,1302.72
0.01648,1323.34
0.01726,1343.96
0.01815,1364.59
0.01917,1385.21
0.02036,1405.83
0.02181,1426.46
0.02365,1447.08
0.02617,1467.7
0.03014,1488.32
0.035,1499.14
0.03988,1502.72
0.04478,1504.25
0.04971,1505.21
0.05466,1506
0.05963,1506.76
0.06463,1507.5
0.06965,1508.24
0.0747,1508.98
0.07977,1509.73
0.08487,1510.48
0.09,1511.24
0.09515,1512
0.10032,1512.76
0.10552,1513.53
0.11075,1514.3
0.116,1515.08
0.12128,1515.86
0.12658,1516.64
0.13191,1517.43
0.13727,1518.22
0.14265,1519.02
0.14806,1519.82
0.1535,1520.62
0.15897,1521.43
0.16446,1522.25
0.16998,1523.06
0.17552,1523.89
0.1811,1524.71
0.1867,1525.54
0.19233,1526.38
0.19799,1527.21
0.20368,1528.06
0.20939,1528.91
0.21513,1529.76
0.22091,1530.61
0.22671,1531.48
0.23254,1532.34
0.2384,1533.21
0.24429,1534.09
0.25021,1534.97
0.25615,1535.85
0.26213,1536.74
0.26814,1537.63
0.27418,1538.53
0.28025,1539.44
0.28635,1540.34
0.29248,1541.26
0.29864,1542.17
0.30483,1543.1
0.31105,1544.02
0.31731,1544.96
0.32359,1545.89
0.32991,1546.84
0.33626,1547.78
0.34264,1548.73
0.34906,1549.69
0.3555,1550.66
0.36198,1551.62
0.36849,1552.6
0.37504,1553.58
0.38162,1554.56
0.38823,1555.55
0.39487,1556.54
0.40155,1557.54
0.40827,1558.55
0.41501,1559.56
0.42179,1560.57
0.42861,1561.59
0.43546,1562.62
0.44235,1563.65
0.44927,1564.69
0.45622,1565.73
0.46322,1566.78
0.47024,1567.84
0.47731,1568.9
0.4844,1569.97
0.49154,1571.04
0.49871,1572.12
0.50592,1573.2
0.51317,1574.29
0.52045,1575.39
0.52777,1576.49
0.53513,1577.6
0.54252,1578.71
0.54996,1579.83
0.55743,1580.96
0.56494,1582.09
0.57249,1583.23
0.58008,1584.37
0.58771,1585.52
0.59537,1586.68
0.60308,1587.84
0.61083,1589.01
0.61861,1590.19
0.62644,1591.37
0.63431,1592.57
0.64221,1593.76
0.65016,1594.96
0.65815,1596.17
0.66618,1597.39
0.67426,1598.61
0.68237,1599.84
0.69053,1601.08
0.69873,1602.32
0.70697,1603.57
0.71526,1604.83
0.72359,1606.1
0.73196,1607.37
0.74037,1608.65
0.74883,1609.93
0.75734,1611.23
0.76589,1612.53
0.77448,1613.49
0.78312,1613.8
0.7918,1613.93
0.80053,1614
0.80931,1614.06
0.81813,1614.12
0.82699,1614.18
0.83591,1614.24
0.84487,1614.3
0.85388,1614.35
0.86293,1614.41
0.87203,1614.47
0.88118,1614.53
0.89038,1614.59
0.89963,1614.65
0.90892,1614.71
0.91826,1614.77
0.92766,1614.83
0.9371,1614.89
0.94659,1614.95
0.95613,1615.01
0.96572,1615.07
0.97536,1615.13
0.98505,1615.19
0.9948,1615.26
1.00459,1615.32
1.01444,1615.38
1.02433,1615.45
1.03428,1615.51
1.04428,1615.57
1.05434,1615.64
1.06444,1615.7
1.0746,1615.77
1.08482,1615.84
1.09508,1615.9
1.1054,1615.97
1.11578,1616.03
1.12621,1616.1
1.13669,1616.17
1.14723,1616.23
1.15782,1616.3
1.16847,1616.37
1.17918,1616.44
1.18994,1616.51
1.20076,1616.58
1.21163,1616.65
1.22256,1616.72
1.23355,1616.79
1.2446,1616.86
1.2557,1616.93
1.26687,1617
1.27809,1617.08
1.28937,1617.15
1.30071,1617.22
1.31211,1617.29
1.32357,1617.37
1.33509,1617.44
1.34667,1617.51
1.35831,1617.59
1.37002,1617.66
1.38178,1617.74
1.3936,1617.82
1.40549,1617.89
1.41744,1617.97
1.42946,1618.05
1.44153,1618.12
1.45367,1618.2
1.46587,1618.28
1.47814,1618.36
1.49047,1618.44
1.50287,1618.52
1.51533,1618.6
1.52786,1618.68
1.54045,1618.76
1.55311,1618.84
1.56584,1618.92
1.57863,1619
1.59149,1619.09
1.60442,1619.17
1.61742,1619.25
1.63048,1619.34
1.64361,1619.42
1.65682,1619.5
1.67009,1619.59
1.68343,1619.68
1.69684,1619.76
1.71032,1619.85
1.72387,1619.94
1.7375,1620.02
1.75119,1620.11
1.76496,1620.2
